node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
zhangzi_county_china,import_port,Zhangzi County,China,Shanxi Natural Gas Co Ltd [100.00%],operating,1074.09,0.0,,
xinbao_village_hongdong_county_china,international_source,"Xinbao Village, Hongdong County",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,657.61,0.0,,
nanbao_village_zhangzi_county_china,import_port,"Nanbao Village, Zhangzi County",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,657.61,0.0,,
huairen_city_china,international_source,Huairen City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,613.77,0.0,,
youyu_county_china,import_port,Youyu County,China,Shanxi Natural Gas Co Ltd [100.00%],operating,1074.09,0.0,,
qinshui_county_china,import_port,Qinshui County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,1085.05,0.0,,
shanxi_china,import_port,Shanxi,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,328.8,0.0,,
lan_county_china,international_source,Lan county,China,Shanxi Natural Gas Co Ltd [100.00%],operating,657.61,0.0,,
wanbolin_district_china,import_port,Wanbolin District,China,Shanxi Natural Gas Co Ltd [100.00%],operating,657.61,0.0,,
qianzhuang_village_lan_county_china,international_source,"Qianzhuang Village, Lan county",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,0.0,0.0,,
puming_town_lan_county_china,import_port,"Puming Town, Lan County",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,0.0,0.0,,
licheng_county_china,international_source,Licheng County,China,Shanxi Gemeng International Energy Group Co Ltd [100.00%],operating,5480.05,0.0,,
shahe_city_china,import_port,Shahe City,China,Shanxi Gemeng International Energy Group Co Ltd [100.00%],operating,5480.05,0.0,,
houma_city_china,import_port,Houma City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,1052.17,0.0,,
shangdang_district_china,import_port,Shangdang District,China,Shanxi Guohua Energy Co Ltd [100.00%],operating,7014.47,0.0,,
hejin_city_china,import_port,Hejin City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,328.8,0.0,,
huozhou_city_china,import_port,Huozhou City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,0.0,0.0,,
shenchi_county_china,international_source,Shenchi County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,876.81,0.0,,
kelan_county_china,import_port,Kelan County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,876.81,0.0,,
xiaodian_district_china,international_source,Xiaodian District,China,Shanxi Huaxin Natural Gas Eastern Pipeline Network Co Ltd [100.00%],operating,5480.05,0.0,,
pingyao_county_china,import_port,Pingyao County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,1972.82,0.0,,
donggou_village_xinghualing_district_china,international_source,"Donggou Village, Xinghualing District",China,Shanxi Guoxin Energy Corp Ltd [100.00%],proposed,2192.02,0.0,,
nanneidao_village_xugou_town_qingxu_county_china,import_port,"Nanneidao Village, Xugou Town, Qingxu County",China,Shanxi Guoxin Energy Corp Ltd [100.00%],proposed,2192.02,0.0,,
xiaoyi_city_china,international_source,Xiaoyi City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,0.0,0.0,,
xinjiang_county_china,international_source,Xinjiang County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,876.81,0.0,,
yanhu_china,international_source,Yanhu,China,Shanxi Guohua Energy Co Ltd [100.00%],proposed,2630.43,0.0,,
henan_china,import_port,Henan,China,Shanxi Guohua Energy Co Ltd [100.00%],proposed,2630.43,0.0,,
fanshi_county_china,import_port,Fanshi County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,548.01,0.0,,
shangheituo_village_xiaodian_district_china,international_source,"Shangheituo Village, Xiaodian District",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,3945.64,0.0,,
dachang_village_qingxu_county_china,import_port,"Dachang Village, Qingxu County",China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,3945.64,0.0,,
yu_county_china,international_source,Yu County,China,Shanxi Wanzhong Zongheng Gas Pipeline Co Ltd [100.00%],shelved,2630.43,0.0,,
pingding_county_china,import_port,Pingding County,China,Shanxi Wanzhong Zongheng Gas Pipeline Co Ltd [100.00%],shelved,2630.43,0.0,,
huangmei_china,international_source,Huangmei,China,--,operating,6576.07,0.0,,
jiujiang_china,import_port,Jiujiang,China,--,operating,6576.07,0.0,,
xuebu_town_china,international_source,Xuebu Town,China,Jiangsu Natural Gas Co Ltd [100.00%],operating,657.61,0.0,,
gaosheng_town_china,import_port,Gaosheng Town,China,Jiangsu Natural Gas Co Ltd [100.00%],operating,657.61,0.0,,
shengze_town_china,international_source,Shengze Town,China,Jiangsu Natural Gas Co Ltd [100.00%],operating,15344.15,0.0,,
bacheng_town_china,import_port,Bacheng Town,China,Jiangsu Natural Gas Co Ltd [100.00%],operating,15344.15,0.0,,
yushan_china,international_source,Yushan,China,Jiangsu Natural Gas Co Ltd [100.00%],operating,1052.17,0.0,,
puguang_china,international_source,Puguang,China,--,operating,6576.07,0.0,29.401991,106.002086
natural_gas_chemical_industrial_zone_china,import_port,Natural Gas Chemical Industrial Zone,China,--,operating,6576.07,0.0,31.214554,107.480341
shizi_town_china,international_source,Shizi Town,China,--,operating,10521.71,0.0,,
nanjing_china,import_port,Nanjing,China,--,operating,10521.71,0.0,,
hubei_china,international_source,Hubei,China,--,operating,2520.83,0.0,,
puguang_town_china,international_source,Puguang Town,China,--,operating,32880.33,0.0,35.762562,115.012833
qingpu_district_china,import_port,Qingpu District,China,--,operating,32880.33,0.0,31.267021,120.601984
poliang_town_china,international_source,Poliang Town,China,Anhui Huishang Great Wall Energy Co Ltd [100.00%],operating,789.13,0.0,,
wuhu_china,international_source,Wuhu,China,West to East Gas Transmission Branch of National Petroleum Pipeline Network Group Co Ltd [100.00%],construction,1644.02,0.0,,
